timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_update_rate,fix_type,latitude,longitude,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed
unix time,,,s,m,m,m,deg,Hz,,deg,deg,m/s,G,Hz,G,deg,G,m/s
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,calc,calc,calc,calc,calc,calc
1707197301.057,0,,0.05,0.13559,3.124,350.5719,,,1.0,47.5525552,-122.1327956,0.0033,,20.0,,,,0.0033
1707197301.107,0,,0.1,0.27117,3.123,350.52481,,,1.0,47.5525564,-122.1327955,0.00661,,20.0,,,,0.00661
1707197301.157,0,,0.15,0.40676,3.122,350.47771,,,1.0,47.5525577,-122.1327954,0.00991,,20.0,,,,0.00991
1707197301.207,0,,0.2,0.54234,3.121,350.43061,,,1.0,47.5525589,-122.1327953,0.01321,,20.0,,,,0.01321
1707197301.257,0,,0.25,0.67793,3.11999,350.38351,,,1.0,47.5525601,-122.1327952,0.01652,,20.0,,,,0.01652
1707197301.307,0,,0.3,0.81351,3.11899,350.33642,,,1.0,47.5525613,-122.1327952,0.01982,,20.0,,,,0.01982
1707197301.357,0,,0.35,0.9491,3.11799,350.28932,,,1.0,47.5525625,-122.1327951,0.02312,,20.0,,,,0.02312
1707197301.407,0,,0.4,1.08468,3.11699,350.24222,,,1.0,47.5525637,-122.132795,0.02643,,20.0,,,,0.02643
1707197301.457,0,,0.45,1.22027,3.11599,350.19513,,,1.0,47.552565,-122.1327949,0.02973,,20.0,,,0.00673,0.02973
1707197301.507,0,,0.5,1.35586,3.11499,350.14803,,,1.0,47.5525662,-122.1327948,0.03303,,20.0,,,0.00661,0.03303
1707197301.557,0,,0.55,1.49144,3.11399,350.10093,,,1.0,47.5525674,-122.1327947,0.03634,,20.0,,,0.00651,0.03634
1707197301.607,0,,0.6,1.62703,3.11299,350.05383,,,1.0,47.5525686,-122.1327947,0.03964,,20.0,,,0.00642,0.03964
1707197301.657,0,,0.65,1.76261,3.11199,350.00674,,,1.0,47.5525698,-122.1327946,0.04294,,20.0,,,0.00634,0.04294
1707197301.707,0,,0.7,1.8982,3.11099,349.95964,,,1.0,47.5525711,-122.1327945,0.04625,,20.0,,,0.00627,0.04625
1707197301.757,0,,0.75,2.03378,3.10998,349.91254,,,1.0,47.5525723,-122.1327944,0.04955,,20.0,,,0.00619,0.04955
1707197301.807,0,,0.8,2.16937,3.10898,349.86545,,,1.0,47.5525735,-122.1327943,0.05285,,20.0,,,0.00611,0.05285
1707197301.857,0,,0.85,2.30495,3.10798,349.81835,,,1.0,47.5525747,-122.1327942,0.05616,,20.0,,,0.00603,0.05616
1707197301.907,0,,0.9,2.44054,3.10698,349.77125,,,1.0,47.5525759,-122.1327942,0.05946,,20.0,,,0.00593,0.05946
1707197301.957,0,,0.95,2.57613,3.10598,349.72416,,,1.0,47.5525771,-122.1327941,0.06276,,20.0,,,0.00582,0.06276
1707197302.006,0,,0.999,2.709,3.105,349.678,,1.001,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.0057,0.06594
1707197302.007,0,,1.0,2.709,3.10659,349.678,,1.001,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.0057,0.066
1707197302.057,0,,1.05,2.709,3.18589,349.678,,1.00095,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00555,0.066
1707197302.107,0,,1.1,2.709,3.26519,349.678,,1.0009,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00539,0.066
1707197302.157,0,,1.15,2.709,3.34449,349.678,,1.00085,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00521,0.066
1707197302.207,0,,1.2,2.709,3.42379,349.678,,1.0008,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.005,0.066
1707197302.257,0,,1.25,2.709,3.50309,349.678,,1.00075,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00478,0.066
1707197302.307,0,,1.3,2.709,3.58239,349.678,,1.0007,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00453,0.066
1707197302.357,0,,1.35,2.709,3.66169,349.678,,1.00065,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00426,0.066
1707197302.407,0,,1.4,2.709,3.74099,349.678,,1.0006,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00397,0.066
1707197302.457,0,,1.45,2.709,3.82029,349.678,,1.00055,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00366,0.066
1707197302.507,0,,1.5,2.709,3.89959,349.678,,1.0005,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00335,0.066
1707197302.557,0,,1.55,2.709,3.97889,349.678,,1.00045,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00303,0.066
1707197302.607,0,,1.6,2.709,4.05819,349.678,,1.0004,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00271,0.066
1707197302.657,0,,1.65,2.709,4.13749,349.678,,1.00035,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00239,0.066
1707197302.707,0,,1.7,2.709,4.21679,349.678,,1.0003,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00209,0.066
1707197302.757,0,,1.75,2.709,4.29609,349.678,,1.00025,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.0018,0.066
1707197302.807,0,,1.8,2.709,4.37539,349.678,,1.0002,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00154,0.066
1707197302.857,0,,1.85,2.709,4.45469,349.678,,1.00015,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00131,0.066
1707197302.907,0,,1.9,2.709,4.53399,349.678,,1.0001,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00112,0.066
1707197302.957,0,,1.95,2.709,4.61329,349.678,,1.00005,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00098,0.066
1707197303.006,0,,1.999,2.709,4.691,349.678,,1.0,1.0,47.5525783,-122.132794,0.066,,20.0,,,0.00088,0.06604
1707197303.007,0,,2.0,2.70911,4.69097,349.67797,,1.0,1.0,47.5525783,-122.132794,0.06604,,20.0,,,0.00088,0.06604
1707197303.057,0,,2.05,2.71436,4.68972,349.67632,,1.00003,1.0,47.5525784,-122.1327939,0.06789,,20.0,,,0.00083,0.06789
1707197303.107,0,,2.1,2.71962,4.68847,349.67466,,1.00005,1.0,47.5525784,-122.1327939,0.06974,,20.0,,,0.00083,0.06974
1707197303.157,0,,2.15,2.72487,4.68722,349.67301,,1.00008,1.0,47.5525784,-122.1327938,0.07159,,20.0,,,0.00088,0.07159
1707197303.207,0,,2.2,2.73013,4.68597,349.67136,,1.0001,1.0,47.5525785,-122.1327938,0.07344,,20.0,,,0.00096,0.07344
1707197303.257,0,,2.25,2.73538,4.68472,349.66971,,1.00013,1.0,47.5525785,-122.1327937,0.0753,,20.0,,,0.00107,0.0753
1707197303.307,0,,2.3,2.74064,4.68347,349.66806,,1.00015,1.0,47.5525785,-122.1327937,0.07715,,20.0,,,0.00121,0.07715
1707197303.357,0,,2.35,2.74589,4.68222,349.66641,,1.00018,1.0,47.5525786,-122.1327936,0.079,,20.0,,,0.00136,0.079
1707197303.407,0,,2.4,2.75115,4.68096,349.66475,,1.0002,1.0,47.5525786,-122.1327936,0.08085,,20.0,,,0.00153,0.08085
1707197303.457,0,,2.45,2.7564,4.67971,349.6631,,1.00023,1.0,47.5525786,-122.1327935,0.0827,,20.0,,,0.00171,0.0827
1707197303.507,0,,2.5,2.76166,4.67846,349.66145,,1.00025,1.0,47.5525787,-122.1327935,0.08456,,20.0,,,0.00189,0.08456
1707197303.557,0,,2.55,2.76691,4.67721,349.6598,,1.00028,1.0,47.5525787,-122.1327934,0.08641,,20.0,,,0.00208,0.08641
1707197303.607,0,,2.6,2.77217,4.67596,349.65815,,1.0003,1.0,47.5525787,-122.1327934,0.08826,,20.0,,,0.00226,0.08826
1707197303.657,0,,2.65,2.77742,4.67471,349.6565,,1.00033,1.0,47.5525788,-122.1327933,0.09011,,20.0,,,0.00243,0.09011
1707197303.707,0,,2.7,2.78268,4.67346,349.65484,,1.00035,1.0,47.5525788,-122.1327933,0.09196,,20.0,,,0.0026,0.09196
1707197303.757,0,,2.75,2.78793,4.67221,349.65319,,1.00038,1.0,47.5525788,-122.1327932,0.09381,,20.0,,,0.00275,0.09381
1707197303.807,0,,2.8,2.79319,4.67095,349.65154,,1.0004,1.0,47.5525789,-122.1327932,0.09567,,20.0,,,0.00288,0.09567
1707197303.857,0,,2.85,2.79844,4.6697,349.64989,,1.00043,1.0,47.5525789,-122.1327931,0.09752,,20.0,,,0.00299,0.09752
1707197303.907,0,,2.9,2.8037,4.66845,349.64824,,1.00045,1.0,47.5525789,-122.1327931,0.09937,,20.0,,,0.00307,0.09937
1707197303.957,0,,2.95,2.80895,4.6672,349.64659,,1.00048,1.0,47.552579,-122.132793,0.10122,,20.0,,,0.00313,0.10122
1707197304.005,0,,2.998,2.814,4.666,349.645,,1.0005,1.0,47.552579,-122.132793,0.103,,20.0,,,0.00314,0.10293
1707197304.007,0,,3.0,2.81503,4.66596,349.64508,,1.0005,1.0,47.552579,-122.132793,0.103,,20.0,,,0.00314,0.103
1707197304.057,0,,3.05,2.84078,4.66486,349.64698,,1.00047,1.0,47.5525792,-122.1327927,0.103,,20.0,,,0.00312,0.103
1707197304.107,0,,3.1,2.86653,4.66376,349.64888,,1.00045,1.0,47.5525793,-122.1327925,0.103,,20.0,,,0.00307,0.103
1707197304.157,0,,3.15,2.89228,4.66266,349.65078,,1.00042,1.0,47.5525795,-122.1327922,0.103,,20.0,,,0.00299,0.103
1707197304.207,0,,3.2,2.91803,4.66156,349.65268,,1.0004,1.0,47.5525796,-122.132792,0.103,,20.0,,,0.00287,0.103
